Nombre equipo,Fecha,Nombre jugador,Posicion,X Posicion,Y Posicion,Distancia,Tiro convertido
Atlanta Hawks,2015-10-27,Al Horford,Pívot,-28.31,155.44,14.91,0.55
Atlanta Hawks,2015-10-27,Dennis Schroder,Base,-2.33,100.22,10.43,0.57
Atlanta Hawks,2015-10-27,Jeff Teague,Base,-56.47,120.48,9.94,0.44
Atlanta Hawks,2015-10-27,Kent Bazemore,Alero,34.18,97.86,8.67,0.0
Atlanta Hawks,2015-10-27,Kyle Korver,Escolta,-15.33,172.2,22.11,0.33
Atlanta Hawks,2015-10-27,Lamar Patterson,Escolta,-200.22,2.53,22.0,1.0
Atlanta Hawks,2015-10-27,Mike Muscala,Pívot,11.27,147.65,14.0,0.0
Atlanta Hawks,2015-10-27,Mike Scott,Ala-Pívot,-6.52,154.5,12.25,0.5
Atlanta Hawks,2015-10-27,Paul Millsap,Ala-Pívot,-3.57,70.13,13.8,0.47
Atlanta Hawks,2015-10-27,Thabo Sefolosha,Alero,110.53,70.24,14.33,0.33
Atlanta Hawks,2015-10-27,Tiago Splitter,Pívot,-10.98,77.66,0.4,0.4
Atlanta Hawks,2015-10-29,Al Horford,Pívot,31.44,159.22,12.17,0.5
Atlanta Hawks,2015-10-29,Dennis Schroder,Base,-44.25,148.95,11.55,0.55
Atlanta Hawks,2015-10-29,Jeff Teague,Base,-23.25,137.8,8.5,0.58
Atlanta Hawks,2015-10-29,Justin Holiday,Escolta,-137.48,72.91,12.5,0.5
Atlanta Hawks,2015-10-29,Kent Bazemore,Alero,8.89,100.88,11.33,0.33
Atlanta Hawks,2015-10-29,Kyle Korver,Escolta,54.46,147.86,19.38,0.75
Atlanta Hawks,2015-10-29,Lamar Patterson,Escolta,114.75,93.53,17.2,0.6
Atlanta Hawks,2015-10-29,Mike Scott,Ala-Pívot,-46.49,149.65,14.0,0.25
Atlanta Hawks,2015-10-29,Paul Millsap,Ala-Pívot,-12.84,100.89,7.73,0.27
Atlanta Hawks,2015-10-29,Tiago Splitter,Pívot,-61.71,155.76,2.17,0.67
Atlanta Hawks,2015-10-30,Al Horford,Pívot,0.52,117.03,13.0,0.53
Atlanta Hawks,2015-10-30,Dennis Schroder,Base,-8.09,148.68,9.6,0.4
Atlanta Hawks,2015-10-30,Jeff Teague,Base,-9.57,130.53,14.21,0.43
Atlanta Hawks,2015-10-30,Kent Bazemore,Alero,76.22,81.3,10.46,0.54
Atlanta Hawks,2015-10-30,Lamar Patterson,Escolta,41.14,232.39,24.0,0.0
